,Date,Market,Capital_used,ROI,Profit_Loss,Opened_trades,Closed_trades,Profitable_trades,Loosing_trades,Targets_met,Stoplosses_hit,broker_name,segment,trade_type,long_short,hourly_slots,pre_planned_or_adhoc,strategy_id
893,05/04/2021,IND,646482,0.28,29091.69,18,37,35,2,10,1,A,Commodities,scalping,Short,1,2,5
894,26/05/2021,IND,269664,-0.14,13483.2,50,22,13,9,4,4,B,Forex,intraday,Long,3,1,8
895,04/05/2021,IND,413235,-0.21,-12810.28,7,3,2,1,1,0,C,Forex,scalping,Long,1,2,4
896,04/05/2021,IND,1408346,-0.21,-52108.8,42,43,38,5,6,2,B, Equity,intraday,Short,1,2,9
897,27/05/2021,IND,937806,-0.67,14535.99,41,2,0,2,0,2,C, Equity,scalping,Short,2,1,1
898,22/04/2021,IND,178892,-0.36,-5724.54,24,3,3,0,3,0,B,FnO,swing,Short,4,1,6
899,20/07/2021,IND,714545,0.01,33226.34,11,5,0,5,0,2,B,Commodities,swing,Long,2,1,8
900,07/04/2021,IND,872061,-0.48,-41422.9,25,37,26,11,11,5,C,Commodities,positional,Long,4,1,6
901,16/05/2021,IND,218299,-0.41,9823.45,44,23,12,11,7,4,B,Commodities,swing,Short,2,2,8
902,04/04/2021,IND,67293,-0.75,1446.8,28,45,11,34,2,6,B, Equity,swing,Short,4,1,8
903,02/07/2021,IND,679498,-0.26,-10871.97,45,49,4,45,2,17,B,Commodities,positional,Short,2,2,10
904,21/05/2021,IND,191432,0.14,-7561.56,39,15,11,4,8,1,A,Commodities,positional,Long,2,2,8
905,16/04/2021,IND,1364241,0.32,26602.7,29,44,35,9,27,7,D,FnO,intraday,Long,2,2,2
906,08/05/2021,IND,335284,0.39,-13076.08,28,16,15,1,8,0,A,Forex,positional,Long,2,1,6
907,08/07/2021,IND,194111,0.01,-2329.33,35,4,1,3,1,0,B, Equity,intraday,Long,4,2,6
908,23/04/2021,IND,528039,0.95,23761.76,13,47,21,26,11,1,D, Equity,swing,Short,3,1,3
909,05/04/2021,IND,1345952,0.28,13459.52,42,38,12,26,6,10,C,Forex,positional,Long,2,1,2
910,06/06/2021,IND,101266,-0.45,2936.71,36,35,19,16,17,13,B,FnO,swing,Short,2,2,9
911,22/07/2021,IND,573758,-0.05,-5450.7,39,19,15,4,15,0,A,Shares,swing,Long,2,2,8
912,11/07/2021,IND,86929,-0.6,565.04,25,50,13,37,6,9,C, Equity,scalping,Long,3,2,10
913,01/05/2021,IND,863263,-0.44,13380.58,9,49,2,47,1,16,A,FnO,scalping,Short,2,2,9
914,06/06/2021,IND,848294,-0.45,-7210.5,19,21,13,8,7,1,A,FnO,scalping,Short,4,2,4
915,01/04/2021,IND,176025,-0.24,-8009.14,19,15,13,2,7,0,B,Shares,positional,Long,3,2,7
916,26/05/2021,IND,261487,-0.14,10720.97,3,15,9,6,7,3,C,Forex,scalping,Short,1,1,5
917,14/07/2021,IND,1257422,0.69,-23262.31,29,39,16,23,3,18,C,Forex,intraday,Short,3,1,1
918,28/06/2021,IND,154274,-0.3,-5399.59,15,47,41,6,30,4,A,FnO,positional,Long,2,2,3
919,07/05/2021,IND,1432108,-0.11,59432.48,23,7,3,4,2,1,D,Commodities,swing,Short,4,2,4
920,21/07/2021,IND,748373,-0.09,-23947.94,32,16,16,0,16,0,C,FnO,positional,Long,4,1,1
921,07/05/2021,IND,1048397,-0.11,-26734.12,33,17,13,4,10,1,A,Forex,intraday,Long,1,1,4
922,01/04/2021,IND,1007051,-0.24,-48338.45,39,25,22,3,6,3,D,Shares,intraday,Short,4,2,5
923,07/04/2021,IND,161641,-0.48,5091.69,49,48,16,32,7,14,B,Commodities,swing,Short,3,2,5
924,18/06/2021,IND,1456578,-0.04,-57534.83,25,29,7,22,7,21,D,Shares,intraday,Long,3,1,9
925,22/06/2021,IND,1305900,0.15,-33300.45,48,6,3,3,3,0,D,Commodities,intraday,Short,4,1,2
926,04/05/2021,IND,869438,-0.21,-11302.69,18,7,2,5,2,4,D, Equity,scalping,Long,1,2,8
927,14/04/2021,IND,465458,1.0,9076.43,4,23,4,19,1,4,C,FnO,scalping,Short,1,1,5
928,04/07/2021,IND,1050723,-0.32,-32047.05,16,2,2,0,0,0,A,Commodities,scalping,Short,2,1,7
929,06/04/2021,IND,1190767,0.32,-25601.49,16,25,19,6,11,5,A,Forex,positional,Long,2,2,5
930,02/05/2021,IND,1353731,0.08,37227.6,21,42,26,16,21,8,D,Commodities,positional,Long,1,1,6
931,08/04/2021,IND,736617,0.07,10312.64,15,12,8,4,6,1,C,Shares,scalping,Short,1,2,6
932,12/07/2021,IND,97952,0.52,-1714.16,23,12,0,12,0,5,D,FnO,intraday,Short,3,1,10
933,04/07/2021,IND,1270461,-0.32,-26044.45,28,1,0,1,0,1,B,Forex,swing,Short,3,1,6
934,27/04/2021,IND,911485,-0.17,-38282.37,21,42,28,14,24,7,C,Shares,scalping,Short,4,2,5
935,21/05/2021,IND,1339627,0.14,55594.52,8,14,0,14,0,2,B,Commodities,positional,Long,1,2,10
936,01/04/2021,IND,706881,-0.24,-23680.51,44,21,16,5,4,0,C, Equity,swing,Short,3,1,3
937,04/07/2021,IND,1296906,-0.32,-33071.1,10,9,9,0,5,0,A,Commodities,scalping,Short,1,1,3
938,27/06/2021,IND,99694,0.5,2791.43,23,17,5,12,1,1,C,Forex,scalping,Short,3,1,1
939,15/06/2021,IND,1003102,0.14,-15548.08,4,31,5,26,1,26,B, Equity,positional,Short,2,1,1
940,13/07/2021,IND,852144,0.04,28546.82,5,1,0,1,0,0,B,FnO,intraday,Long,1,1,6
941,03/04/2021,IND,332887,-0.37,-2663.1,48,50,36,14,2,13,A,Shares,intraday,Short,1,1,8
942,31/05/2021,IND,961229,0.36,10092.9,24,3,0,3,0,1,D,Commodities,positional,Short,4,2,3
943,21/07/2021,IND,1137850,-0.09,-17636.67,25,18,9,9,9,0,D,Commodities,scalping,Long,3,1,9
944,01/07/2021,IND,394317,-0.61,-12420.99,13,38,21,17,10,15,C, Equity,positional,Long,4,2,7
945,08/04/2021,IND,1258188,0.07,29567.42,44,23,11,12,0,2,C, Equity,scalping,Short,4,1,8
946,13/05/2021,IND,284172,-0.05,12077.31,8,9,3,6,1,6,C,Shares,intraday,Long,2,2,4
947,03/04/2021,IND,1161259,-0.37,-20902.66,4,14,11,3,0,3,B, Equity,intraday,Short,3,2,10
948,28/04/2021,IND,590980,0.53,21866.26,48,24,7,17,5,11,C,Forex,swing,Long,1,1,7
949,05/05/2021,IND,1389352,-0.48,30565.74,11,38,13,25,0,6,C,Forex,swing,Long,4,2,6
950,01/05/2021,IND,108706,-0.44,3641.65,7,5,4,1,2,1,B,FnO,positional,Long,4,1,10
951,20/05/2021,IND,1151109,-0.46,-35684.38,44,21,20,1,17,1,B,FnO,scalping,Long,3,2,8
952,03/05/2021,IND,1495470,-0.02,32152.6,23,36,9,27,9,8,C,Commodities,scalping,Short,4,2,8
953,11/05/2021,IND,1227682,0.42,-38671.98,48,33,5,28,1,15,C, Equity,intraday,Long,2,2,8
954,16/07/2021,IND,577887,-0.57,20514.99,26,16,4,12,2,5,D,Commodities,swing,Short,4,1,7
955,12/05/2021,IND,1422142,0.38,22043.2,12,19,7,12,7,6,B,Shares,scalping,Long,2,2,8
956,15/06/2021,IND,165244,0.14,6279.27,9,30,15,15,9,3,C,FnO,positional,Short,2,2,2
957,27/05/2021,IND,1012784,-0.67,17723.72,16,15,15,0,14,0,D,Forex,scalping,Long,2,1,4
958,13/05/2021,IND,525013,-0.05,-21525.53,18,37,15,22,6,10,B,FnO,scalping,Short,4,1,7
959,06/06/2021,IND,53598,-0.45,2331.51,28,22,8,14,4,12,C,Commodities,intraday,Long,1,1,3
960,03/07/2021,IND,638920,-0.17,7347.58,37,2,2,0,1,0,C,Forex,swing,Short,1,2,10
961,18/05/2021,IND,170444,0.44,7158.65,3,45,14,31,3,11,C, Equity,intraday,Short,3,2,2
962,28/05/2021,IND,1312199,-0.15,19026.89,3,8,4,4,2,4,A,Shares,swing,Long,2,2,5
963,31/05/2021,IND,699175,0.36,4544.64,45,50,37,13,1,11,D,Forex,positional,Short,4,2,4
964,18/07/2021,IND,958576,-0.68,-31153.72,4,35,4,31,2,19,A,FnO,scalping,Short,3,2,10
965,01/04/2021,IND,235513,-0.24,10598.08,29,34,19,15,6,9,D, Equity,intraday,Short,1,2,10
966,08/07/2021,IND,879505,0.01,6156.53,43,41,0,41,0,24,B, Equity,intraday,Short,1,1,1
967,09/06/2021,IND,122555,-0.61,6005.19,16,49,32,17,27,4,A,Commodities,scalping,Short,3,1,4
968,10/07/2021,IND,309017,-1.1,14369.29,19,13,12,1,6,0,A,Forex,positional,Long,4,1,4
969,17/05/2021,IND,478726,1.07,6462.8,9,44,31,13,31,3,C,Commodities,intraday,Long,4,1,7
970,16/05/2021,IND,1364467,-0.41,21831.47,6,34,30,4,9,4,B,Forex,scalping,Long,1,2,4
971,23/05/2021,IND,635510,1.47,6672.85,42,17,10,7,10,4,A,Forex,positional,Short,2,1,1
972,09/05/2021,IND,1446645,-0.84,-7956.55,32,15,0,15,0,10,D, Equity,scalping,Short,4,2,6
973,15/06/2021,IND,1176361,0.14,-33526.29,21,23,18,5,8,2,B, Equity,intraday,Long,4,1,4
974,09/06/2021,IND,625814,-0.61,5945.23,10,49,2,47,2,1,B,Shares,intraday,Short,1,2,5
975,05/05/2021,IND,1245583,-0.48,-24911.66,36,22,2,20,2,2,C, Equity,scalping,Short,4,2,10
976,05/05/2021,IND,657697,-0.48,-25321.33,35,23,9,14,6,13,A, Equity,positional,Long,3,1,5
977,22/04/2021,IND,1017757,-0.36,50887.85,7,33,33,0,8,0,A, Equity,intraday,Short,1,1,6
978,03/06/2021,IND,306466,0.8,14863.6,45,16,16,0,7,0,A,Commodities,swing,Long,1,1,1
979,20/07/2021,IND,1199917,0.01,19798.63,20,9,4,5,4,1,B,Forex,positional,Short,1,2,7
980,20/04/2021,IND,142082,0.48,-1491.86,37,29,21,8,20,1,D, Equity,scalping,Long,2,2,2
981,20/06/2021,IND,1433706,0.16,-58781.95,21,30,26,4,10,3,A,Commodities,intraday,Short,2,1,5
982,15/04/2021,IND,1222700,-0.14,-28122.1,41,45,30,15,0,3,A,Commodities,positional,Long,1,1,6
983,19/04/2021,IND,1481498,-0.85,64445.16,12,39,0,39,0,26,B,Forex,positional,Short,4,1,9
984,12/04/2021,IND,1441051,0.2,15131.04,31,41,30,11,1,9,C,Forex,swing,Short,1,1,1
985,03/04/2021,IND,1310883,-0.37,-40637.37,7,10,6,4,5,1,A, Equity,positional,Short,1,2,2
986,04/06/2021,IND,1020529,-0.04,33167.19,41,42,24,18,5,2,C,Shares,positional,Long,4,1,1
987,24/04/2021,IND,930790,0.15,-13961.85,28,27,23,4,22,0,A,Commodities,swing,Long,2,2,2
988,05/07/2021,IND,560125,-0.11,-26045.81,22,39,12,27,4,8,B,Commodities,scalping,Short,3,1,4
989,03/07/2021,IND,211109,-0.17,-6649.93,2,16,0,16,0,4,D, Equity,swing,Short,3,1,5
990,04/04/2021,IND,1007924,-0.75,23182.25,39,13,6,7,1,7,D,Commodities,swing,Long,1,2,10
991,12/05/2021,IND,665923,0.38,18312.88,4,16,8,8,2,4,A, Equity,swing,Short,4,1,6
992,04/07/2021,IND,665088,-0.32,-12304.13,49,35,33,2,8,0,B,Commodities,swing,Short,3,1,9
993,11/06/2021,IND,163085,0.8,5137.18,35,21,7,14,7,5,C,Commodities,swing,Short,2,1,5
994,17/07/2021,IND,1216100,1.0,60805.0,9,8,4,4,4,1,A,Shares,positional,Long,1,1,7
995,18/04/2021,IND,821667,-0.09,-15200.84,22,31,21,10,2,10,A,Commodities,swing,Long,3,1,9
996,06/04/2021,IND,934030,0.32,-46234.49,44,19,13,6,1,2,B,FnO,intraday,Long,3,2,5
997,28/04/2021,IND,63743,0.53,1561.7,14,39,35,4,7,2,C,Forex,swing,Long,3,1,8
998,14/06/2021,IND,1210515,-0.05,-55683.69,22,46,4,42,3,21,B,Commodities,swing,Long,3,2,9
999,16/04/2021,IND,1320745,0.32,13207.45,37,38,15,23,15,9,A,Forex,scalping,Short,2,1,3
1000,18/07/2021,IND,190716,-0.68,-4577.18,30,36,34,2,32,1,A,Commodities,scalping,Short,3,1,3
1001,11/07/2021,IND,67125,-0.6,-1141.12,33,36,32,4,28,3,B,Shares,scalping,Long,4,2,5
1002,20/07/2021,IND,446535,0.01,11609.91,14,41,36,5,8,0,B,Commodities,swing,Long,1,1,6
1003,22/04/2021,IND,692296,-0.36,19038.14,47,46,19,27,1,19,A,Forex,scalping,Short,3,2,9
1004,08/05/2021,IND,713874,0.39,-33552.08,7,32,21,11,19,3,D,Commodities,positional,Short,1,2,5
1005,03/07/2021,IND,856522,-0.17,24839.14,3,12,7,5,3,0,C,FnO,positional,Short,4,2,4
1006,07/06/2021,IND,600154,0.75,24306.24,41,7,0,7,0,6,A,Commodities,intraday,Long,4,2,2
1007,18/04/2021,IND,1314099,-0.09,-7884.59,30,16,16,0,8,0,D,FnO,intraday,Long,3,1,9
1008,11/06/2021,IND,1286732,0.8,-45678.99,42,32,24,8,22,6,A,Commodities,intraday,Long,3,1,6
1009,05/04/2021,IND,192439,0.28,-3560.12,49,41,17,24,10,14,D,FnO,scalping,Long,4,1,1
1010,04/04/2021,IND,804930,-0.75,-12476.42,13,23,3,20,1,5,A,Forex,swing,Long,1,1,7
1011,10/07/2021,IND,924265,-1.1,-6007.72,17,38,2,36,1,34,C,FnO,positional,Short,3,1,9
1012,30/04/2021,IND,339987,-0.93,5439.79,34,9,8,1,7,1,A,FnO,swing,Short,4,2,7
1013,21/04/2021,IND,340183,-0.19,16158.69,42,35,5,30,0,17,B,Commodities,positional,Long,3,2,10
1014,12/05/2021,IND,1320473,0.38,-40274.43,44,4,4,0,3,0,A,Shares,positional,Long,3,1,9
1015,18/05/2021,IND,697298,0.44,28589.22,2,35,23,12,0,2,C, Equity,swing,Short,1,1,5
1016,07/07/2021,IND,1082149,-0.36,31382.32,11,14,1,13,1,12,B,Shares,scalping,Short,3,1,5
1017,23/05/2021,IND,58521,1.47,-1960.45,29,30,12,18,10,2,D, Equity,swing,Short,2,1,10
1018,13/05/2021,IND,1277452,-0.05,58762.79,48,33,32,1,31,0,C,FnO,positional,Short,2,1,4
1019,14/05/2021,IND,173329,-1.39,-4333.23,50,37,8,29,5,5,B, Equity,scalping,Short,4,2,4
1020,18/04/2021,IND,205621,-0.09,-7916.41,15,1,0,1,0,1,C, Equity,intraday,Short,1,2,2
1021,04/06/2021,IND,306814,-0.04,-5982.87,12,19,16,3,10,3,A,Commodities,positional,Long,2,2,6
1022,02/04/2021,IND,1260613,-0.81,-41600.23,29,5,4,1,2,0,C,Shares,scalping,Long,2,1,6
1023,13/07/2021,IND,297958,0.04,5363.24,24,28,18,10,9,0,A,Commodities,scalping,Long,2,2,5
1024,20/06/2021,IND,821456,0.16,5750.19,30,33,27,6,19,1,C,Commodities,intraday,Short,4,2,4
1025,08/05/2021,IND,864397,0.39,-33279.28,19,4,1,3,1,0,B,Forex,swing,Long,1,1,10
1026,10/04/2021,IND,1228537,-0.12,-6756.95,35,21,11,10,7,4,D,Shares,scalping,Long,2,2,6
1027,18/05/2021,IND,1087050,0.44,23915.1,36,24,16,8,2,7,C,FnO,positional,Long,4,2,9
1028,17/04/2021,IND,298558,-0.73,12987.27,42,18,5,13,4,13,C,Forex,scalping,Long,1,1,6
1029,12/04/2021,IND,185830,0.2,6225.31,45,18,3,15,0,0,C,FnO,scalping,Short,4,2,7
1030,14/06/2021,IND,234012,-0.05,-7020.36,34,35,7,28,4,17,D,FnO,intraday,Short,2,1,3
1031,28/05/2021,IND,1067260,-0.15,-50694.85,4,31,9,22,7,6,B,Shares,intraday,Long,2,2,3
1032,15/07/2021,IND,184438,1.02,2121.04,41,38,23,15,11,11,A,Commodities,swing,Long,3,1,2
1033,27/06/2021,IND,100397,0.5,4317.07,23,15,5,10,5,0,B,Commodities,scalping,Short,2,2,10
1034,22/04/2021,IND,1433414,-0.36,-48736.08,26,15,7,8,6,5,B,Commodities,swing,Long,3,2,5
1035,06/05/2021,IND,646571,-1.01,24569.7,28,18,4,14,2,1,A,Forex,scalping,Short,1,1,4
1036,20/06/2021,IND,1299752,0.16,-32493.8,2,21,21,0,5,0,C, Equity,intraday,Long,3,1,3
1037,24/05/2021,IND,437128,-0.59,13988.1,25,17,13,4,11,1,A,Forex,scalping,Short,4,1,10
1038,19/04/2021,IND,525928,-0.85,-18407.48,49,33,14,19,4,0,A, Equity,intraday,Short,3,2,4
1039,17/05/2021,IND,669092,1.07,33454.6,12,34,19,15,14,6,C, Equity,swing,Short,4,2,1
1040,28/06/2021,IND,1199166,-0.3,55161.64,36,9,9,0,1,0,C,FnO,scalping,Short,2,1,2
1041,22/04/2021,IND,96621,-0.36,-3236.8,29,50,32,18,29,17,C,Commodities,intraday,Short,4,1,10
1042,15/06/2021,IND,422100,0.14,4221.0,42,13,7,6,0,2,C,FnO,intraday,Long,2,1,2
1043,08/04/2021,IND,1098093,0.07,-16471.4,49,8,2,6,1,5,B, Equity,swing,Long,4,1,10
1044,15/05/2021,IND,1048409,0.58,-34073.29,3,39,2,37,0,37,B,Forex,positional,Long,1,1,10
1045,10/06/2021,IND,149629,0.27,1645.92,14,37,13,24,4,0,C,Commodities,positional,Long,1,2,1
1046,30/06/2021,IND,982357,0.6,28488.35,30,37,26,11,0,11,D,Forex,scalping,Short,2,1,5
1047,02/04/2021,IND,862566,-0.81,-38815.47,14,31,21,10,10,6,A,FnO,swing,Long,4,1,4
1048,22/07/2021,IND,345409,-0.05,8807.93,40,40,20,20,16,15,C, Equity,swing,Short,4,2,8
1049,30/05/2021,IND,795669,0.08,28246.25,38,24,16,8,6,1,C,Forex,intraday,Short,4,1,4
1050,09/05/2021,IND,335240,-0.84,4860.98,41,3,2,1,0,0,D,Commodities,intraday,Short,3,2,9
1051,23/04/2021,IND,642085,0.95,-7705.02,12,30,3,27,0,2,C,Commodities,intraday,Long,4,1,2
1052,11/05/2021,IND,716848,0.42,19713.32,16,9,9,0,7,0,B,Shares,positional,Short,4,2,10
1053,19/07/2021,IND,1010344,-0.16,-20712.05,35,40,2,38,0,36,B, Equity,positional,Short,1,1,7
1054,01/07/2021,IND,1297430,-0.61,-51897.2,2,5,3,2,3,0,C,Shares,intraday,Long,1,1,2
1055,29/04/2021,IND,1276697,-1.2,-31279.08,9,15,10,5,7,5,B,Shares,scalping,Long,4,1,6
1056,16/07/2021,IND,198638,-0.57,-9534.62,34,32,19,13,12,3,A,Forex,positional,Long,2,1,6
1057,08/07/2021,IND,296555,0.01,-10824.26,49,47,28,19,23,8,C,Shares,intraday,Long,3,1,2
1058,19/04/2021,IND,925085,-0.85,-29140.18,16,36,23,13,15,10,D,Shares,swing,Long,1,1,1
1059,26/06/2021,IND,1272476,-1.72,-9543.57,17,43,11,32,5,23,A,Shares,intraday,Long,3,2,7
1060,27/04/2021,IND,859748,-0.17,21063.83,8,22,0,22,0,2,A,Shares,intraday,Long,4,2,3
1061,13/06/2021,IND,1264958,-0.16,-21504.29,49,7,3,4,3,4,C,Commodities,positional,Long,1,2,5
1062,23/05/2021,IND,977683,1.47,31774.7,48,5,5,0,3,0,D,Shares,scalping,Short,3,2,8
1063,08/04/2021,IND,1186166,0.07,-33212.65,14,48,14,34,11,33,D,Forex,scalping,Short,3,2,7
1064,01/07/2021,IND,1264184,-0.61,-18330.67,49,35,13,22,10,0,D,FnO,positional,Long,2,1,2
1065,03/05/2021,IND,526017,-0.02,-19988.65,23,26,17,9,8,6,B, Equity,intraday,Long,4,2,5
1066,13/06/2021,IND,965092,-0.16,9168.37,41,20,20,0,16,0,D,Shares,swing,Long,3,1,9
1067,15/05/2021,IND,983607,0.58,48196.74,22,26,17,9,12,0,D, Equity,scalping,Long,4,2,3
1068,25/06/2021,IND,1197134,0.05,55068.16,44,19,11,8,0,4,A,Forex,intraday,Long,4,1,3
1069,04/04/2021,IND,161426,-0.75,-4842.78,50,20,0,20,0,1,C,Commodities,scalping,Long,2,2,3
1070,27/04/2021,IND,1187738,-0.17,-17222.2,46,37,37,0,31,0,A, Equity,intraday,Short,2,2,5
1071,06/06/2021,IND,961663,-0.45,-47121.49,36,30,5,25,3,5,B,Shares,swing,Long,2,1,6
1072,27/04/2021,IND,1373414,-0.17,-59056.8,6,15,7,8,4,2,B,Forex,intraday,Long,2,2,9
1073,27/06/2021,IND,310469,0.5,6519.85,10,12,3,9,0,6,C, Equity,scalping,Short,4,1,3
1074,27/06/2021,IND,1112353,0.5,-18353.82,35,46,15,31,2,14,B,FnO,scalping,Long,3,1,2
1075,09/06/2021,IND,1335180,-0.61,-39387.81,48,3,3,0,0,0,C,Shares,positional,Long,4,1,6
1076,15/05/2021,IND,1417206,0.58,26926.91,42,36,33,3,0,2,D,Shares,swing,Long,4,2,7
1077,29/04/2021,IND,639714,-1.2,24628.99,4,6,6,0,4,0,B,Commodities,positional,Long,3,2,10
1078,14/05/2021,IND,1022957,-1.39,-8183.66,48,46,43,3,18,2,B,FnO,positional,Long,1,1,2
1079,09/07/2021,IND,869324,-0.08,13474.52,18,11,11,0,11,0,B,Forex,intraday,Short,3,1,4
1080,16/06/2021,IND,914152,0.01,-38394.38,7,23,14,9,12,8,C,FnO,scalping,Short,1,1,6
1081,14/07/2021,IND,1091798,0.69,9280.28,33,17,4,13,0,11,A,FnO,positional,Short,4,1,6
1082,05/06/2021,IND,872222,0.04,-7413.89,25,40,12,28,6,6,D,Commodities,intraday,Long,4,2,5
1083,08/07/2021,IND,339290,0.01,4580.41,7,26,24,2,7,2,B,FnO,swing,Long,2,1,6
1084,21/06/2021,IND,236762,0.3,-1538.95,43,41,41,0,38,0,A,Shares,positional,Short,4,1,10
1085,24/06/2021,IND,351684,0.18,-16529.15,36,4,0,4,0,3,C,Commodities,swing,Long,2,1,8
1086,21/05/2021,IND,636609,0.14,12413.88,8,10,9,1,4,0,A, Equity,swing,Short,4,2,6
1087,09/06/2021,IND,348301,-0.61,2263.96,11,27,23,4,8,3,B,Forex,scalping,Short,2,2,8
1088,19/07/2021,IND,1475343,-0.16,-14753.43,16,38,18,20,11,3,B,Shares,scalping,Short,1,1,10
1089,13/06/2021,IND,867819,-0.16,4339.1,18,46,41,5,11,5,C,Shares,positional,Long,1,2,10
1090,19/06/2021,IND,299464,-0.39,-13775.34,2,4,0,4,0,3,B,FnO,swing,Short,4,2,4
1091,25/06/2021,IND,107132,0.05,-4071.02,37,17,13,4,7,3,D,Forex,scalping,Long,1,1,3
1092,19/05/2021,IND,121429,-0.47,1760.72,43,27,2,25,0,25,A,Commodities,positional,Short,2,2,4
1093,13/07/2021,IND,823316,0.04,25934.45,10,9,0,9,0,3,A,Shares,intraday,Long,4,2,4
1094,01/07/2021,IND,1224664,-0.61,-53885.22,10,37,32,5,16,5,C,Shares,swing,Long,3,1,8
1095,28/05/2021,IND,1496105,-0.15,-32914.31,29,14,11,3,9,3,D,Forex,swing,Short,4,2,6
1096,06/07/2021,IND,1352551,0.25,27727.3,28,21,8,13,4,12,D,Shares,swing,Short,1,2,10
1097,24/05/2021,IND,132343,-0.59,2117.49,3,25,8,17,7,13,A,Forex,scalping,Long,3,2,10
1098,22/04/2021,IND,733527,-0.36,28607.55,10,37,35,2,8,2,D, Equity,swing,Long,3,2,6
1099,03/05/2021,IND,156065,-0.02,-2575.07,35,46,3,43,3,34,C,FnO,scalping,Long,1,1,1
1100,25/04/2021,IND,1491015,-0.0,-67841.18,9,47,2,45,2,9,B,Shares,scalping,Short,2,1,2
1101,24/05/2021,IND,703585,-0.59,-29198.78,26,35,3,32,1,26,B,Shares,intraday,Short,2,2,6
1102,28/04/2021,IND,825928,0.53,40057.51,12,29,25,4,17,0,A,FnO,positional,Long,2,1,10
1103,09/07/2021,IND,723976,-0.08,-24615.18,9,8,8,0,1,0,B,Shares,scalping,Short,1,1,3
1104,21/05/2021,IND,349509,0.14,-6990.18,19,23,3,20,1,20,C, Equity,swing,Long,2,2,9
1105,03/04/2021,IND,752465,-0.37,23326.42,16,35,27,8,14,7,B,Commodities,swing,Short,1,1,2
1106,27/05/2021,IND,990837,-0.67,-21798.41,50,27,19,8,6,4,B, Equity,scalping,Short,2,2,4
1107,18/04/2021,IND,1157038,-0.09,-14462.98,7,14,12,2,0,0,D,Commodities,swing,Long,3,2,1
1108,18/07/2021,IND,346607,-0.68,14384.19,3,11,2,9,0,6,B, Equity,positional,Short,1,2,2
1109,28/06/2021,IND,544566,-0.3,6807.07,49,12,1,11,1,11,C,Forex,scalping,Long,1,2,1
1110,29/06/2021,IND,907399,0.32,-17240.58,44,44,40,4,0,1,C, Equity,scalping,Short,2,2,4
1111,21/07/2021,IND,380895,-0.09,11045.95,24,1,0,1,0,0,A,Shares,scalping,Short,2,2,3
1112,04/07/2021,IND,1134507,-0.32,-33467.96,9,23,1,22,0,2,C,Forex,swing,Short,4,2,7
1113,15/06/2021,IND,1118188,0.14,24600.14,29,48,43,5,16,1,D,FnO,intraday,Long,2,1,5
1114,18/06/2021,IND,1395303,-0.04,-63486.29,33,18,0,18,0,11,A,FnO,scalping,Long,2,1,5
1115,18/05/2021,IND,735201,0.44,3676.01,15,33,26,7,8,7,B,Commodities,positional,Short,1,1,4
1116,12/07/2021,IND,907309,0.52,5897.51,41,20,4,16,4,14,B,Forex,swing,Short,3,2,1
1117,22/05/2021,IND,929958,-0.0,9764.56,15,28,24,4,18,1,D,Forex,scalping,Long,1,1,10
1118,18/06/2021,IND,477413,-0.04,18619.11,3,40,38,2,14,1,A,Shares,scalping,Long,1,2,6
1119,23/04/2021,IND,861178,0.95,-4736.48,23,22,21,1,1,1,B,Commodities,scalping,Long,4,1,6
1120,26/05/2021,IND,1413303,-0.14,-24026.15,8,34,14,20,14,9,B, Equity,intraday,Long,2,1,2
1121,23/06/2021,IND,282180,-0.55,-11146.11,49,9,6,3,4,2,D,FnO,scalping,Short,3,2,7
1122,20/07/2021,IND,378024,0.01,3591.23,1,44,14,30,3,30,A,Forex,swing,Long,3,1,4
1123,08/04/2021,IND,1199038,0.07,-13788.94,3,41,19,22,8,10,A,Forex,scalping,Short,1,1,1
1124,30/05/2021,IND,53254,0.08,1331.35,18,7,4,3,1,2,C,Shares,swing,Long,2,1,9
1125,06/06/2021,IND,1325613,-0.45,-7290.87,26,28,4,24,3,12,B, Equity,positional,Long,1,1,4
1126,04/06/2021,IND,388284,-0.04,18443.49,18,50,11,39,2,5,B,FnO,scalping,Long,4,2,10
1127,06/05/2021,IND,394023,-1.01,-16745.98,33,50,41,9,19,6,B,Shares,positional,Short,2,1,5
1128,14/05/2021,IND,1221530,-1.39,-24430.6,25,34,9,25,7,25,C,FnO,intraday,Long,4,2,10
1129,28/04/2021,IND,1235931,0.53,-14831.17,17,43,11,32,2,28,B,Shares,swing,Long,1,1,5
1130,10/05/2021,IND,814673,0.12,36660.29,37,42,30,12,1,2,C, Equity,positional,Long,4,1,4
1131,21/04/2021,IND,835213,-0.19,-10022.56,3,47,22,25,2,3,C,FnO,swing,Long,3,2,2
1132,14/06/2021,IND,1412336,-0.05,7767.85,24,21,0,21,0,5,B, Equity,intraday,Short,4,2,2
1133,09/05/2021,IND,752170,-0.84,-35351.99,43,11,3,8,2,3,C,FnO,scalping,Short,3,1,5
1134,18/07/2021,IND,239764,-0.68,10429.73,23,29,15,14,3,14,C,Forex,intraday,Long,1,2,3
1135,28/05/2021,IND,192981,-0.15,2315.77,10,3,3,0,2,0,B,Forex,scalping,Short,1,2,6
1136,05/04/2021,IND,1091204,0.28,13094.45,29,33,26,7,10,2,C,Commodities,scalping,Short,3,1,6
